Techno,House,Trance,Electro,Hard Trance,Tech House,Acid House,Acid,Synth-pop,Tribal House,Electro House,Italo-Disco,Italodance
Urban Kickz Recordings,Sunrec,Illusion Records,Discos CNR Chile,Eternal Sun Records,Spoiled Rotten Records,BMG Ariola Hungary,Cyclon Records,E-Wave Records,Family Affair,Do It Yourself Entertainment Strategic Marketing,GV Music,Weekendance
Digital Wasteland,MAW Records,Art-Group Music,Central Processing Unit,Spinnin' Records White Label,Paradise Distribution,Oxigen,Harthouse,E-Wave ReCords,Media Sound Studio Venice,DJ Selection,CGD,Dance Pool
Tribal Waves Recordings,"Masters At Work Productions, Inc.",Art-Group Studio,Computer Club Sheffield,Mazeman,Muna Musik,Rough Technology,Moonquake,Virgin,Island Records,Elektro Beat,Il Discotto Productions,Plastika
Berceuse Heroique,MAW Studios,Foon,Breakin' Records,Tunnel Records,Redpanda,Spice Vibes Records,Musik Edition Discoton,Virgin Records Ltd.,Edel Italia,Self Distribuzione,Studio Jonathan 67,DBX Records
Native,"MAW Records, Inc.",Disco-Press,Kudos,Tunnel Records GmbH,Synesthesia,Rough Trade Records GmbH,WMME Alsdorf,Raw Unlimited Ltd,Harlequin Recording Group,Do It Yourself Music Group S.r.l.,Graphyche Magica 2000,Dig It International
Bleep,Automatic Records,Universal Music Publishing,Frustrated Funk,Music Mail,3000°,Edition Magic Wonderland,Warner Music Manufacturing Europe,Virgin Music (Publishers) Ltd.,Colin Muzik Produksiyon,Kontor Records,Irma Records,St. Bear Studios
The Green Series,Dome Records,AGM Publishing,Zyntax Motorcity,GZ Digital Media,Kompakt,BMG Ufa,Anodyne,DADC Austria,Sheeva Records,Ministry Of Sound,Groove Factory,21st Century Records
Kontra-Musik,Time S.p.A.,Virgin,Lunatic Rec.,Edition Electro City,MPO,New Way Music,M.Z. Publishing,Epic,Epic,Kontor Records GmbH,Pozzoli,Factory Sound Studio
Skudge X,Promo Mix,EMI,Bunker Records,Edition No Turn Songs,SST GmbH,Warner/Chappell,Biosfear,CBS Dance Pool,Feel The Rhythm,Ministry Of Sound Recordings (Germany) GMBH,ZYX Music,TIME
Cannibal Society,TIME,New State,20:20 Vision,Edition Various Tunes,Crosstown Rebels,Edition Leviathan,Propulsion 285,Arista,Sony Music,Edel Distribution GmbH,Copyright Control,TIME S.r.l.
Copyright Control,Soulsupplement Records,Cream Music Ltd.,20:20 Vision Recordings,EMI,Copyright Control,Sony Music Publishing,Smitten,Ariola Eurodisc GmbH,MPO,Fly Eye,Celebrate Records GmbH,Self Distribuzione
Triple Vision Record Distribution,Chocoflash,CreamCollect,Sound 2020 Publishing,Roba Musikverlag,Gourmand Music Recordings,Mediatech GmbH,Contact,Polygram Records Operations Ltd.,Happy Music,Traxx,Beat Box,Sym Music
Linda,Spacefunk Recordings,EMI UK,Pasadena Oceanlab,Tunnel Trance Force Nights,DPK,DADC Austria,"Metropolis Mastering, Ltd",Ariola Group Of Companies,Royal Drums,Universal Music Group,Vinyl Mania,Paperino Edizioni Musicali
Audio Assault,Gum Prod,Heathmans Mastering,Record Technology Incorporated,In Lite,Italic,SRO,Ton Son Ton,"Arista Records, Inc.",Dopewax,ToCo Europe,American Disco,Lethal Records
Curve Pusher,Virgin,Progrez,XL Recordings,Dig It International S.r.l.,Circle Music,Absurd Recordings,PRT,Cronex Media Studio,Metronome,Universal Music,Electra,21st Century
Record Industry,Square Prod Studio,BMG Universal Music Publishing,Electric Music Foundation,Ala Bianca Group S.r.l.,Metroline Limited,Acid Test,Son Ton Son Music,Masterdisk,Eightball Records,Universal Music s.r.o.,Audiodisc AB,Contraseña S.L.
Cocoon Recordings,Virgin France S.A.,Bonzai Music,Curve Pusher,Garden Studio,Wordandsound,Dubplates & Mastering,P.R. Records Limited,Sonopress,Aenaria Tribal,Universal,Cutting Room,Domino Records
Wordandsound,Ultra Records,Syndrome Produktunes,Not On Label,WPM Records,I.M.L,House Nation,Dj.ungle Fever,Mohndruck Graphische Betriebe GmbH,"Virgin España, S.A.",Smilax Records,Discomagic Records,Soul Xpression
Cocoon Publishing,DMC,ID&T,Blind Allies,Goliath,Polaroid Recordings,Dance Street,Acid Test,Barclay,Kosmik Disk,Smilax Publishing,Disco Magic S.r.l.,Deep Blaze Records
Break New Soil,Back To Mine,Svenson Studio,Cool Globe Agency,Recover,R & S Records,Paraíso,Absurd Recordings,ReRe Music,Cyber Production,Just Music,"Fox Studio, Fossadello",A.C.V. Edizioni Musicali
Planet Rhythm Records,Disque Americ,ID&T Music BV,4 Sight Records,Endeavour,Traum Schallplatten,Takt,Drop Bass Network,Studio Guillaume Tell,Onizom Music,Fuzz Magazine,Maracanà Disco Dancer,Blanco Y Negro
Grammar,Purple Music,Sony Music,Vi-Sonic,Yawa Recordings,Avotre,Ten Eight Seven Mastering,Rephlex,Studio Oncle Sam,Irma Records,C8Studios,Magic DeeJay,Panic Records
Clone Distribution,Italians Do It Better,DOCdata,Cultivated Electronics LTD,A&S Productions,Noon Records,In The Dark Again,"Universal M & L, UK",Editions RereMusic,Discoin S.r.l.,Not On Label,ZYX Records,Copyright Control
AnD,EDR Records,Elevator Music,Human Shield Record Company,Be's Songs,URSL,Tribetoolz,Dope On Plastic,"PDO, France",Onizom Records,Chic Flowerz Music,AMD Record,Strenght Rec. S.r.l.
StarDelta Audio Mastering,The Pusher Distribution,TBA,Exit Planet Earth,EMI Music Publishing Germany GmbH,Baile Musik,Sole Unlimited,Ratel Music Publishing,Ariola,Kutmusic,interGROOVE,Bernhard Mikulski Schallplatten-Vertriebs-GmbH,N.T.M. Records
Vault Series,MPO,Street Parade,Riot City,Sunwater Music,Luscious Sounds,Stealth Records,Dope On Plastic Music,Oasis,No Label Recordings,Cyber Production,Elaton,N.T.M. Studio
Soma Quality Recordings,The Carvery,Echochamber,Formic Distribution,Panorama Studio,Ton liebt Klang,OITO//OITO,Exposure,Giorgio Moroder Enterprises Ltd,Festibalazo Records,Eye Industries,Mantra Vibes,Propio Records
MPO,4 Lux,TBA AG,Vinyl Moon,Yawa Studio Krefeld,Vinyl Labor,Grama Pressing,Polybius Trax,Island Music Ltd.,Plastic Fantastic,Universal Music TV,ZYX Music GMBH & Co. KG,Active Music
Modularz,Playtime Records,Adivan Switzerland,City Rockers,Yawa Recordings GmbH,Abstrakt Minded Records,Atlantic,Lamour Records,Complete Music Ltd.,NAB Tower Music,Slave Recordings,Lombardoni Edizioni Musicali,PolyGram Distribution
Construct Re-Form,Ultimate Rhythmatic Music,Zolex Records,Strange Life Records,BXR,Epsilonlab,Balkan Recordings,Reference Analogue Audio,Arista Records Ltd.,Bucks Music,Beverley Street Studios,Casablanca,"PRS, Louviers"
Music Man Records,Simonelli Music,Popular Records,Editions Mego,DJ Exclusive,Malatoid Records,Titzero,Labworks UK,Mute,Copyright Control,Creator Studios Sheffield,Polygram Dischi S.p.A.,Net's Work Records
Self Reflektion,Gomi Music,Armada,The Premises Studio (London),Robbins,Guerrilla Records,Enjoy! Records,ULR One,Mute Records Ltd.,Amato Distribution,Copyright Control,Can Can,London Records Productions
Rabe,"The Hot Box, Brooklyn",Nimra Music,Haswell Studio,Hangar London Records Inc.,Ultimate Music Distribution,The House Of Love,CBA Productions,Vital,Loaded Records,Full Force Session,Edizioni Allione,Grand Master Studio
Tonica Records,On A Mission Records,Cloud 9 Music Publishing,Dubplates & Mastering,Trance Recording Company,Aliance Music Madrid S.L.,L.I.E.S. Records,Deaths Music,Musical Moments Ltd.,Planet Blue Records,A&S Productions,Phonoster,Night And Day Studio
Perc Trax,Color Sound Studio,Armin Audio B.V.,Enfant Terrible,Hardplastic,Clipper's Madrid S.L.,Trax Records,Like Records,Minotaur Music Ltd.,Empire State Records,EMI Music Belgium,Tanga Label,EMI
Forgotten Figures,Subwx Bcn.,Armada Music B.V.,Gooiland Elektro,Discomagic Records,NRK Sound Division,Durty Truth Records,Analogic Density,Sony Music Publishing,Tribal Italia,VPI,Warner Bros.,Central Station
De:tuned,Record Industry,Water Music Dance,Record Industry,Time Tunnel - Thrilling Underworld,Freibank,Breakout,Urbanground Records,Bocu Music,Polydor,Ault_01 Studio,Regson Studio,EMI Austria GesmbH
Alaska Swimming Gear,Vocal Bizz Recordings,Oscillator,Barclay,TMV GmbH,Edition Moon Harbour,Peacefrog Records,Dance Drugstore Records,Real World Music Ltd.,Ffrreedom,Translab,Tandan Records,EMI Uden
Schnittstelle,WEA,BMLC Sound,Sound Of Barclay,P+O Pallas,Strobelight Ltd,LGN,Acid Pop,Rak Publishing Ltd.,Disctronics B,Not On Label (Mellee Fresh),Toolex Alpha,Bianco & Nero
Just This,Chrysalis,BE'S Songs,Savoir Faire,A45 Music GmbH,NRK Music,Broadwalk Records,Rainbo Records,Warner/Chappell,Not On Label,Not On Label (Deadmau5),Skylax,Gian Burrasca Studio
Calyx Mastering,EMI Records Ltd.,Bionic Beat Recordings,All You Need Is Songs,Blutonium Records,Optimum Mastering,SoulDeep Inc. Records,Subway Records,EMI Uden,Snap & Shake,Not On Label (Rihanna),Sensation Records,Dee And Gee Records
Delirium Red,Virgin Records Ltd.,Breeze Dance Division,Sony / ATV Music Publishing,Clubtown,Pathway Traxx,AJP,Crème Organization,Warner Bros. Records,Deep Touch Black,Kontor - House Of House,VDH Recordings,Max Music
DMD,EMI Music Publishing,Edition Substanz,Loft Mastering,I-Maxx Records,Memoria Music Group,Serious Records,Record Industry,Specialty Records Corporation,Mantra Vibes,Airplay Records,Blanco Y Negro,Luv En Colors Records
Moral Standards,MCA Music Ltd.,Lunatec,Pylon Records,Music Mail Tonträger GmbH,Live At Robert Johnson,Champion Music,U/M/A/A,Shout,Edizioni Musicali Camaleonte,Rough Trade Records GmbH,I Love Disco Diamonds,RA - RE Productions
2KDix,EMI Uden,Edition Lunatec,Custom Craft Records,Planet-E Music,Spaghetti Monster,Champion Records,Hardfloor,Aude,Expanded Music S.r.l.,Continental Records,www.GrupoGema.es,Pinocchio
L.A.G.,Equal Records,Hanseatic Musikverlag GmbH,Bonati Mastering,Pulse,DIS Music,Best Of House,U/M/A/A Inc.,Watteau Music,Zer081 Studio,Bazooka Records,Italians Do It Better,New Music International
Symbolism,Sound Of Music Records,Douglas Dungeon,Surface Effect,Upbeat Records,Materialism,WEA International Inc.,Bones,"Decibel Studios, London",Fluential,Nevez Productions,Green House Recording Studio,ZAC Records
Juno,Italian Style Production,Record Industry,burglar,Vale Music Spain S.L.,JEUDI Records,WEA Records Ltd.,Project Eureka Movie,Parlophone,Defected Records Ltd.,Deadly People,Studio 1063,Moremoney
Etruria Beat,Discomagic Records,WEA Records,Infacted Recordings,Analogue Musikverlag,Textone,TELDEC Record Service GmbH,There Is Love In You,Tausend Augen,Stereo Productions,LP Music,Pirates Press,Melodica Srl
Present,Sound Of Music,Proceed Records,Soulfood,bkb,Goodvibe Records,Kool Kat,Trigger,1000 AUGEN,Peermusic Española S.A.,Wasp Records WSPR,GZ Digital Media,EMI Music Publishing
Rude Records,Foon,Elevation Records,CDA,Copyright Control,Ovum Recordings,Damont,Bolts Records,Pop Import Bernhard Mikulski GmbH,DFI,EMI Music France,I Love ZYX Italo Disco Collection,Melodica Edizioni
Beechwood Music,Positiva,Music Mail Tonträger GmbH,VISION Records,EEC,Ovum Recordings Inc.,Musitech,ARS Productions,Studio 61,CBS Disques S.A.,Ibiza Club,Nunk Records,Italian Dance Graffiti
Essential,Bosconi Records,Celebrate Records GmbH,TCM Musikproduktionen GmbH,EMI Music Publishing Ltd.,Optimal Media Production,Not On Label,P.L.R.,Panne-Paulsen Studios,TNI Music,Simian Mobile Disco,Smash One Music,Full Time Records
Records Mania,Syncrophone,Byte Records,TCM Musikproduktionsgesellschaft mbH,Lina Music,Masterpiece,Kajunga Records,NN'B,Interpress,"PMDC, USA",Wichita,SBK,CGD
Weekend Circuit,Westbury Music,Sony DADC,Rough Trade,MCA GmbH,Capacitor,Art Is No Competition,BMG,SST Brüggemann GmbH,Island Records Inc.,SMD's Studio,L'Altra Metà,Edizioni Carish
Bonzai Records,Episodes,2001,DADC,Musikverlag David Haid,Sismic Music,Nutcase Records,"Strictly Rhythm Records, Inc.",UMC,Fresh Fruit Records,The Beatfarm,Nuova Gente Edizioni Musicali,Edizioni Suvini Zerboni
Bonzai Power,Crosstalk,Edel Records,EMI,Punto Music Publishing,Live Wire,"Metropolis Mastering, Ltd",Mercury Records Ltd.,Mercury,London Records 90 Ltd.,The Premises Studio (London),Emme Studio,Benvenuto Ed. Musicali
Ariola,Complete Mastering,Unsubmissive Records,EMI Records Ltd.,Time Connection,X-Sight Records,Westbrook Records,Comphusion,Universal Music Operations Ltd.,Barclay,La Boca,BMG Ariola,HQ
NN'B,Sulta Selects Silver Service,Optimal Media Production,Nowadays Records,Thomas Stuke,Brooklyn Music Limited (BML),Last Dance Music,Nervous Dog Records,BMG Rights,Metronome Musik GmbH,Wichita Recordings Ltd.,BMG Ariola S.p.A.,Nitelite Records
No Comment,Curve Pusher,Optimal,Kasablanka,Universal Music Publishing,"K-Tel International (USA), Inc.",Gherkin Records,Acid Cuts,Copyright Control,"PMDC, Germany","EDC, Germany",BMG Records,Nitelite Records S.r.l.
Figure,Club Sweat,MPL Communications Inc.,Universal Licensing Music (ULM),ZYX Music,Sonic Groove! Records,Call 4 Rhythm,Force Inc. Music Works,Kick Studios,Plastica,Erotica,Bernhard Mikulski Publishing,Level One S.r.l.
Kennziffer,Audio Delicatessen,MPL Music Verlags-GmbH,Labels,Atlantis,Digitalhut Sounds,Chicago Bee Records,Energized Records,Dean St. Studios,Atlantis,Data Records,SST Brüggemann GmbH,Do It Yourself S.r.l
Lifeform Recordings,Skylax,Lina Music,Labels Belgium,Dance Division,K-tel Entertainment (UK) Ltd,Ulitka,Edition Lost In Space,Alchemy Mastering,Tribal Nation,Azuli Records,Memory Records,Queen Theodolinda Studio
Involve Records,Cómeme,Spacepark Studios,senstudio,Epic,Disctronics S,We Play Acid,MSM Songs MV GmbH,Sonet,Nervous Records,Music For Freaks,Renata Edizioni Musicali,Dig It International S.r.l.
Ovum Recordings,Kompakt Distribution,Musikverlag David Haid,La Chapelle Studios,Sony Music Entertainment (Germany) GmbH & Co. KG,Kling Klong,Paradise Distribution,Energized Studio,Sonet Grammofon AB,"Nervous, Inc.",Classic,Durium Edizioni Musicali,Dig It
Meander,Midnight Groove Recordings,Love & KYR Records,The Exchange,Sony Music,These Eyes,Psychocandies,DMD,SIB-Tryck AB,"Max Entertainment, Inc.",Ministry Of Sound Recordings Ltd.,Interpress,Village Studio
Manmade Mastering,Wordandsound,Initials Studio,EMI Uden,Upright Songs,Superstar Recordings,Sonic Walker,Discomania,Grammoplast,George V Records,Cool Pool Ltd.,Taurus Records,Propio S.r.l.
Future Frontier,Edition O.M.O.,MC3 Music,TIME,EDM Music Productions GmbH,Not On Label,Sclif Spirit,Echo Music,Chrysalis,Tribe 4 DJ Records,EDC Blackburn Ltd,Italo Beat,Stese Ed. Mus.
Red Frame,Hanseatic,Treat Records,Solar,Synergica,Cr2 Records,Not On Label (Seventh Element Self-Released),TBA,Chrysalis Music Ltd.,Star 69 Records,Olympic Studios,GWP,Positiva Italy
Second State,Warner/Chappell,A State Of Trance,Solar records,Matteo Music S.a.s.,Underbelly Records,Revival Records Of Sweden,SST Brüggemann GmbH,Chrysalis Records Ltd.,Star Sixty Nine Entertainment Ltd.,Class Act Publishing,G.W. Productions B.V.,Positiva Studio
The Exchange Vinyl,SST Brüggemann GmbH,Clubstitute Records,MCA Records,Hitland s.r.l.,Prime Direct Distribution,Solid State Recordings,Flagbearer Records,PRS Ltd.,Hitland,Bucks Music Group,Holland Cutting,In Out
CLR,Groovear,Kenny Harder Productions,"MCA Records, Inc.",Avex Trance,Plakat Records,Rainbo Records,CBA Productions Ltd.,"CBS Studios, London",Intox Live,OP Dance Publishing Limited,Intersong Italiana Edizioni Musicali S.r.l.,In Out Production
Sanhaji Mastering,Vendetta Records,Arcade Music Company BV,"CBS Pressing Plant, Aston Clinton",Cyber Trance,Straight Distribution,SP,Ear-Plus Records,Polydor,Salto Sounds,Maxymalny Clubbing,Clever,Jacomo Music
CLR GmbH,"Blanco Y Negro Music, S.A.",CNR Music,Warner Bros. Music Ltd.,Velfarre Cyber Trance Best Hit Trance,SST Brüggemann GmbH,Boxfade Records,Retropublik,Polygram Dischi S.p.A.,The Orchard,My Music,Carrere,Mid-Nite
Android Muziq,Subliminal Records Inc.,Kenny Harder Studio,Chappell Music Ltd.,Avex Inc.,Conya,Electronic Alliance Records,Positive Regression,Trident Studios,Virgin,Universal Music Polska,PH. Renaux Pianola Music,Reflexes Nvx
Strictly Rhythm,Sondos Records Inc.,Tremolo,Rondor Music (London) Ltd.,Avex Distribution Inc.,Yellow Tail,H. Productions,Curly Custom,Phonoster,Virgin Dischi S.R.L.,My Music Sp. z o.o.,SNA,Synthesis Studios
"Europadisk, Ltd.",CD-R Music,Electropolis,Tape One,No Name Records Trance,Edition Blufin,A-Wave,c20h25n3o,Intersong Artemis,Flying Recording Studio,Kidology Records,Translab,Sintetico Music S.r.l.
Teknic Records,Trutone Mastering Labs,Mostiko,Last Gang Records,Sensational Records,BMG Music Publishing,Chrysalis Music,Ballyhoo Studio Mastering,Intersong Italiana,Editions Virgin Musique,Kidology Records Recordings Ltd.,Mr. Disc Organization,'Z'UP
Lines,Well Rounded Edits,Krypton Music,Pomelo,Energetic Records,NEWS Publishing,A-Wave Records,Molecular Funk Guerilla,Society Records,LNV,Music Response,CGD Messaggerie Musicali S.p.A.,B4 Before
Breed,ITH Records,Triebwerk,Streetwise,Warner Music,Discomania,Dolly,Crystal,Morrison Leahy Music Ltd.,Delabel,Neon Records,Logic Studios,Expanded Music s.r.l.
Dubplates & Mastering,For The Love Of House,SST Brüggemann GmbH,Streetwise Records Ltd.,Motion!,Nightflashstudios,Schnittstelle,Artifexbcn Records,Tape One,Grafica Pozzoli S.p.A.,Neon Records Pty Limited,Strum,Volumex
Subosc,ITH Ltd.,Da n.c.e.,Marco Music,Gate One,Ascending Branch,Underground Construction,Hammer House,[PIAS] Recordings,Vendetta Records,Warner Music Australia,Creamus S.r.l.,Star Garda Records
Topplers,Vital,P+O Pallas,Trumar Music,Voice Noise Studios,Stop And Go,Barclay,Czaszka Records,Pamscene Music,SST Brüggemann GmbH,SM,CGD Pressing Plant,Star Garda Records s.r.l.
Subosc Studio,Pepper Records,Fahrenheit,Blank Tape Studios,Warner Music Manufacturing Europe,La Matta,Flim Flam Records,Acidworx,Optimal Media Production,"Blanco Y Negro Music, S.A.",Mental Madness White,Many Edizioni Musicali S.r.l.,JB Production
Counter Pulse,Catapult Records,Warner Chappell Music,Streetwise Records,Energetic Records AG,S.A.I.F.A.M. srl,MCA Records,Believe Digital,Nouveau Music,Electropolis,DVJ PRO COMPANY,Santanna Recording Studios,Angel's Movement
Vinyl Labor,Transparent,Diana Music,Frankford/Wayne Mastering Labs,Warner Music Switzerland,Mela Music,Tape One,Acid Chemical Plant Records,RCA,Enjoy It Studios,Building Records,Many Records,Drohm
Schallplattenfabrik Pallas GmbH,Celebrative,Data Records,V2 Records International,Digidance,"Union Studios, Verona",EMI Records,Dim Light Candelabrum,BMG Records (UK) Ltd.,House Tempo,Building Records Com. Imp. E Exp. de CDs Ltda,Many Records S.r.l.,Gitana s.a.s.
Komisch,Mid-Town Distribution,Ministry Of Sound Recordings Ltd.,Cooperative Music,Kontor Records,Yerba Buena Discos,Acoustic Division,Not On Label,Bertelsmann Music Group,Space Echo Records,All Around The World,Simple Studio,Level One
N.E.W.S.,Heartbeat,Boss Records,Rabid Records,Digidance B.V.,Cometomusic,Bonati Mastering,Where To Now?,BMG Records,AM,Sheffield Tunes,Fantasy,Gitana Publishing & Record Company S.a.s.
Alchemy Mastering,Memoria Recordings,3 Beat Label Management,Untitled (Recs),Kontor Records GmbH,Ganovy Records,Hardfloor,Partial Magic,BMG Ariola,Mr. Tanman Music,More Music And Media,Non Stop S.p.A.,Gitana Edizioni Musicali S.a.s.
Proud,Memoria Music Group,Xtravaganza Recordings,Semantica Records,DOCdata,Kosmo Records,Poker Flat Recordings,Not On Label (Ceephax Acid Crew Self-released),Metronome,Razzia Disques,God Is A DJane,Rimini Studio,Milleville Music
Degustibus Music,Unknown To The Unknown,Sony Dance,Clone,DMD,Acker Dub,Forward To The Past,Aspa Records,WEA,Virgin France S.A.,Cybernetic,Il Discotto Productions s.r.l.,Peak Studio
Pareto Park,Stealth Records,Xtravaganza Recordings Ltd.,KK Records,Torpedo Records,Like Records,No Survivors! Recordings,"Iberofon, S.A.",Metronome Records AB,Low Pressings Limited,Wagram Music,Edizioni Musicali Joks,Discomagic Records
Enemy Records,Ghindre's Studio,SMEA,Sel i/s/c,Max Music,Vinyl-Distribution,Stickman Records,No Survivors! Recordings,Warner Music Manufacturing Europe,"PMDC, France",Fg Dj Radio,Baby Records,Discomagic Studio
I Play Vinyl,Flying International,Liquid Rec.,Breatton Hotel Studio,Scorpia Central Del Sonido,Dance All Day,Eat Raw,Stay Up Forever Remix,Polar Studios,Bang Record,Kidology Records Ltd.,Polydor,Disco Magic S.r.l.
Theory Recordings,BMG Ariola S.p.A.,Incentive,Current Sounds,"Tecnodisco, S.A.",Nebula,Basic Frame Distribution,Labworks Germany,Break My Heart Studio,Winner Music (Brazil),MPO,Merak Music Production,Blue Box Records
Hardgroove Mastering,Copyright Control,Blue Forest Recordings,Dynamic Laserdisc,Bonzai Records,Powder & Louder,World Limited,Mictlan,Foto & Form,Chopstick Dubplate,Raving Records,Imp. Polygram,Plux
News Distribution,Flying Records Productions,Session Group Records,"Mira, Musica!",Central Station,La Vie En Rose,ZYX Records,El Perro Rojo,Record Service Alsdorf,Self Distribuzione,Arlekina Records,Polygram Industries Messageries,PGM Record
Mord,Distribuzioni Flying Records Srl,ZYX Music,DOCdata Benelux,Sunnyside Up,Spoken Recordings,DMC,Dance Ecstasy 2001,Virgin France S.A.,Wonderwheel Recordings,Музыкальная Коллекция. Все Хиты В Формате MP3,Polydor Paris,Replay Records
The Exchange,"Virgin Records America, Inc.",Bubble-Shah Music Publishing,City Beat,Multi Media Masters,Circus Recordings,Zyx Records,Edition X-Rated,Gaumont,Double Cheese Records,ООО «Арлекина-Рекордз»,Radiorama Productions,Tempo Music
Record Records,Sonopress,Warner/Chappell,Beggars Banquet,Polydor,Resopal Red,Westside Records,Sinister Acoustics,"Glory, Asnières",Jinx Records,YYZ Records,Factory Sound Studio,Bull & Butcher Recordings
Wire,TOPAC,Moist Music,WEA Records Ltd.,Tube Records,Iplayvinyl.de,Copyright Control,Electric Music Foundation,Editions La Marguerite,Carpenter Publishing,Rising Music,Mega Records,City Limits Records
Stolen Moments,The Noise Club,Noys,Shakin' Baker Music,G.I.B. Music & Distribution GmbH,Resopal Schallware,Bernhard Mikulski Publishing,Napalm Enema Records,"Pathé Marconi EMI, Chatou",BPM Publishing,Apollo Recordings,Videogram S.r.l.,Major Records
BXR Benelux,Gomma,Playground Music Scandinavia,Intersong Music Ltd.,Camouflage,Depaart,Interpress,Versus Series,Studio Ramsès,Primitive Records,Haripa Music,Videogram,Phatt Krazy Records
Intacto Records,Floorfiller Music,Nebula,Musitech,Start Stop Records,Smack,BERNHARD MIKULSKI Schallplatten-Vertriebs-GmbH,Voltage Controlled Frequencies (VCF),Diesel Music,"Warlock Records, Inc.",Alternative Route Recordings Limited,TOPAC,BMG
Forbidden,Natural Records,Dancevilla Records,Damont,Lift Off Records,Soso Recordings,Aqua Boogie Records,Suspected,Audiodisc AB,WEA Mfg. Olyphant,Universal Island Records Ltd.,I.D. Limited,BMG Ariola München GmbH
Blank Code,Essential Dance Music B.V.,Colourbox,Warner Communications,45beats GmbH,Cubera Records,High Fashion Digital,Planet Mu,Polar Mastering,Publishing Designee,ZYX Music,R.P.R. Studios,Great Dance Records
Roughmix,Soundshapes Music,UCMG UK,Infiltrate,Musicmail GmbH,Bespmusic,The House Sound Of Chicago,JJ,Polydor Ltd. (UK),Dee Jay Mix Distribuzioni S.r.l.,Energy Production s.r.l.,The Vinyl Room,New Music International S.r.l.
Rough Trade Records GmbH,Soundshapes Studio,Copyright Control,Unsunned,45beats,Flash Recordings,Mutant Planet,Neuton,Original Music,Tribadelic Records,Off Limits SRL,Bordello A Parigi,Do It Yourself Entertainment
DADC Austria,Polydor,Laserr Records,Institubes,Celebrate Records GmbH,Riemann Mastering,Ultimix Mastering,Sidewalk Theory,Chappell Music Ltd.,Dorigen Music,Bernhard Mikulski Publishing,Bordello Distro,Lemon Records
Technoir Audio,Polydor Ltd. (UK),Media Records Benelux,Music Specialists,3 Lanka,Deep Culture,Chrysalis,Clan Destine Records,Chappell Morris,Nick Harvey Music,Off Limits Recording Studios,Disco Segreta,BMG Ariola
Synthdrome Music,"PDO, UK",Media Benelux,Island Records,Interlude,Ware,Warner Communications,Trope Mastering,Warner Bros. Music Ltd.,"PDO, UK",Vendetta Records,Jonathan,Altera Studio
Synthdrome,Polydor Ltd.,Corbeau Publishing BV,Universal Music Group,Not On Label,Wea Records,WEA Musik GmbH,Analog Tecne' Model,Enigma Records,AV8 Records,Clubland - Made In Ibiza,Edizioni Sugarmusic,Time S.p.A.
Plus 8 Records,French Press Lounge,Edison,Universal Music Domestic Division,ID&T,Warner Music Group Germany GmbH & Co. Holding OHG,Warner Chappell Music Ltd.,Not On Label (CDR Self-released),Westside Music,AV8 Records House,Made In Ibiza,Stefano Secchi,Promo Mix
From My Mind To Yours,Toy Tonics,Soundgate Recording Studio,Deichkind GbR,Record Industry,Warner Music Manufacturing Europe,Record Service Alsdorf,Illphabetik,Blue Lake Music,Sound Division,Electromix Records,Flashback Records,DJ Movement
Optimal Media GmbH,Signature,Anthem,Master & Servant,Svenson Studio,Artreform,Unfinished Records,WahWah,Mirage,Do It Yourself Entertainment,Legato Records,Extravaganza Publishing,Dance Action Music
Tresor,MCA Records Canada,Blutonium Records,Sturgeon Studios,ID&T Music BV,SCI + TEC Digital Audio,Warner-Tamerlane Publishing Corp.,XS Recordings,Atlantic Recording Corporation,Funky Soup Records,Angel Music Group,Closing The Circle,Montreuil Offset
Tresor Records GmbH,"Chrysalis Records, Inc.",Hitland s.r.l.,"EDC, Germany",Space Taxi Records,Danse Club Records,BMG Rights Management (UK) Limited,sitdownandance,Mirage Records Inc.,JRL Productions,Les Disques De La Jungle,Delivery Records,MPO
Tresor Records,Not On Label (Franz Ferdinand),Temprogressive,Edition Deichkind,Gramofonové Závody,Schnittstelle,Sony/ATV Harmony UK Ltd.,Fungo.pt,Siren,Iberican! Recordings,Sonopress-Rimo da Amazônia Indústria e Comércio Fonográfica Ltda.,"SIB-Tryck AB, Norsborg",Exit Records
Developer Archive,Not On Label (Pete Martin),Armind,Hanseatic Musikverlag GmbH,Muve Recordings,Makin' Records,Sony/ATV Melody,Milieu Music,Siren Records Ltd.,Global Net Records,Rimo Entertainment,Vinyl Mania Productions,Logo Records
Nonplus Records,Times Are Ruff,Code Blue,2084,Mainstation,Global Net S.r.l.,Warner/Chappell North America Ltd.,Housework,Essential Productions,Global Net S.r.l.,TIME,S.A.I.F.A.M.,Antiqua Studio
Recognition,Red Records,Tsunami,GZ Digital Media,www.adcom.ch,Analogue Audio,Alchemy Mastering,Freaksville Music,Virgin Music Ltd.,Virgin Musique,Musical Freedom,Italo 2000 - Italo Rarities,Replay Music
Spiel-Zeug Schallplatten,4th Floor Records,Purple Eye Productions,Masterpiece,Waterworld,ARS Entertainment,MPO,Diskette Records LTD,The Town House,Spirit Animal Records,Time S.p.A.,I Venti d'Azzurro Records,Butterfly Music S.r.l.
Intergroove,NCP,Warner Music UK Ltd.,Discordia,TBA,Digidance,Takt Direct,Acid 303,Capitol Records,Congos Records,Play It Again Sam [PIAS],Best Record,Airplay Records
